ModelID,RangeName,VariableName,timestep,Order,Lbound,Ubound
1000501,CashHist,TOTALRETURN,10,1,-0.04,0.1
1100601,CPIHist,RATE,10,2,-0.04,0.1
1100701,AWEHist,RATE,10,3,-0.04,0.1
1000101,AuEqHist,TOTALRETURN,10,4,-0.5,0.8
1001501,IntEqHist,TOTALRETURN,10,5,-0.5,0.8
1001601,IntEqUnHHist,TOTALRETURN,10,6,-0.5,0.8
1002401,EmEqHist,TOTALRETURN,10,7,-0.5,0.8
1000201,AuFiHist,TOTALRETURN,10,8,-0.15,0.3
1000301,AuFiCorpHist,TOTALRETURN,10,9,-0.15,0.3
1001801,IntFiHist,TOTALRETURN,10,10,-0.15,0.3
1000401,AuPHist,TOTALRETURN,10,11,-0.5,0.8
1002601,AuDPHist,TOTALRETURN,10,12,-0.5,0.8
1002801,IntAltHist,TOTALRETURN,10,13,-0.5,0.8
1002701,AuInfHist,TOTALRETURN,10,14,-0.5,0.8
